Name,Latitud,Longitud,Tipos
Bar SANTA ELENA,40.4474265,-3.7107534,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']"
Epic Board Game Cafe,40.44724209999999,-3.7106795,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Cafetería Cervecería Los Estudiantes,40.44683850000001,-3.712652800000001,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Sidrería Casa Lulo | Restaurante Asturiano,40.4467277,-3.7117925,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Tapas La Vuelta Bar,40.44631979999999,-3.7133939,"['bar', 'point_of_interest', 'establishment']"
Taberna la Tortuga,40.4467848,-3.714322,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"Bar Cafeteria ""Manduka""",40.4463654,-3.711163400000001,"['bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
Café - Bar Al Punto,40.44584979999999,-3.7121838,"['bar', 'point_of_interest', 'establishment']"
Cafetería El Cantaro,40.44724209999999,-3.7106795,"['bar', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Labaña,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
José Manuel Ramírez Pozo,40.44818,-3.711095999999999,"['bar', 'point_of_interest', 'establishment']"
Campus,40.4474778,-3.717200999999999,"['bar', 'point_of_interest', 'establishment']"
Cabala,40.44820319999999,-3.7159438,"['bar', 'point_of_interest', 'establishment']"
Espit Chupitos,40.4473302,-3.7173058,"['bar', 'point_of_interest', 'establishment']"
Taberna Vikinga,40.4467821,-3.7145974,"['bar', 'point_of_interest', 'establishment']"
Estalaya,40.4478574,-3.7163347,"['bar', 'point_of_interest', 'establishment']"
Taberna la Tortuga,40.4467848,-3.714322,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Terraza La Hacienda,40.4463442,-3.7144371,"['bar', 'point_of_interest', 'establishment']"
La Copita,40.4473607,-3.717344299999999,"['bar', 'point_of_interest', 'establishment']"
Campus,40.4474778,-3.717200999999999,"['bar', 'point_of_interest', 'establishment']"
Espit Chupitos,40.4473302,-3.7173058,"['bar', 'point_of_interest', 'establishment']"
La Copita,40.4473607,-3.717344299999999,"['bar', 'point_of_interest', 'establishment']"
Charlotte,40.44514040000001,-3.703364,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Antigua de Chamberí,40.44540939999999,-3.702238299999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
El 21 Cafe Bar,40.4453366,-3.7002081,"['bar', 'point_of_interest', 'establishment']"
La Iguana Bar De Copas,40.44532239999999,-3.700019,"['bar', 'point_of_interest', 'establishment']"
The cocktail bar Plomez,40.4459392,-3.7002954,"['bar', 'point_of_interest', 'establishment']"
bar 2 Amig@s,40.4460627,-3.7002861,"['bar', 'point_of_interest', 'establishment']"
Bar La Gallega,40.4446441,-3.703134700000001,"['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Bar Casa de domingo,40.4440973,-3.7002331,"['bar', 'point_of_interest', 'establishment']"
Bogar Madrid,40.4453032,-3.6996245,"['bar', 'point_of_interest', 'establishment']"
Cueva de bandoleros,40.4452782,-3.6996097,"['bar', 'point_of_interest', 'establishment']"
Tu Rincón,40.446545,-3.7019439,"['bar', 'point_of_interest', 'establishment']"
Suéltate el pelo,40.4444158,-3.7032002,"['bar', 'point_of_interest', 'establishment']"
Norte Sur Bravo Murillo (Chamberí),40.4463895,-3.7041686,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Meigadas,40.4455556,-3.7036111,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Charlotte,40.44514040000001,-3.703364,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Lizarran,40.4459976,-3.7041846,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
La Quinta Lounge Bar,40.4460352,-3.704215600000001,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Bar La Gallega,40.4446441,-3.703134700000001,"['restaurant', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Bar El 84,40.445213,-3.703725,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Taberna Nuevo 78,40.4449081,-3.703758,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
El PRE bar de copas,40.4444788,-3.703385,"['bar', 'point_of_interest', 'establishment']"
Cervecería El Cañonazo,40.444082,-3.703792099999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Coppola Madrid,40.445546,-3.706458599999999,"['bar', 'point_of_interest', 'establishment']"
New Knave,40.44475560000001,-3.7103611,"['bar', 'point_of_interest', 'establishment']"
Las Estaciones de Juan,40.4447722,-3.710038899999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cervecería Brocal,40.4448584,-3.7099568,"['bar', 'food', 'point_of_interest', 'establishment']"
Knave,40.4448584,-3.7099568,"['bar', 'point_of_interest', 'establishment']"
2.1 Bar,40.444814,-3.709718,"['bar', 'point_of_interest', 'establishment']"
Masters y Margaritas,40.4448139,-3.7097175,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
3T Sport Bar & Drinks,40.4447512,-3.7097149,"['bar', 'point_of_interest', 'establishment']"
